EFF,PPG,TRPG,APG,BPG,SPG,FG%,FT%,EF%,DRTG,ORTG,VORP,BPM
11.1,6.5,2.1,4,0.1,0.7,40.1,77.9,50.1,110,106,1.3,-1.8
10.9,8.4,1.8,0.7,0.1,0.3,40.1,72.3,45.8,114,94,-1.1,-7.7
4.5,1.8,1.1,1.2,0,0.4,30,100,31.7,108,80,-0.2,-5.7
8.8,2,0.8,0.8,0.1,0.3,43.6,66.7,47.2,111,98,-0.5,-3.8
16.8,10.1,5.4,1.4,0.8,0.9,46.7,72.5,47.2,106,101,5.4,-0.3
16.8,13.5,4.1,6.7,0.3,2.3,40.9,73.6,46.5,105,106,38.9,3
17.9,13.9,3.8,4.7,0.5,1.5,45.3,79.6,50,107,107,15,2.1
12.4,4.7,3.8,0.7,0.3,0.3,50,80,59.1,117,124,0,-1.7
11.1,3.6,4.2,0.7,0.4,0.5,47.1,58.7,47.1,102,102,2.4,-1
12.5,8.2,4.6,0.8,0.8,0.5,50.4,72.3,50.8,105,100,-1.4,-2.4
1.7,3,1.3,1.2,0,0.4,30.8,33.3,33.3,112,67,-0.3,-9.6
9.7,4.6,0.8,1.4,0,0.5,45.9,64.3,46.8,111,92,-0.5,-5.9
9.6,6.3,2.7,1.3,0.1,0.6,39.4,71.6,48.9,107,104,4.5,-0.8
14,12.5,3,3.4,0.2,0.9,44.2,82.6,52.4,114,108,0.8,-0.8
12.9,12.5,3.3,1.3,0.1,0.5,45.8,85.8,54.5,112,109,0.4,-1.8
15,7.7,2.6,7.6,0,1.5,45.8,82.7,46.7,109,113,5.2,-1.2
16.4,9.8,8.7,2.2,1.6,0.6,53.5,55.6,53.5,102,107,21.6,2.3
10.2,1.4,1.7,0.2,0.4,0.1,42.9,67.9,42.9,106,97,-0.1,-4.7
9.4,2.6,4.2,0.3,3.3,0.2,40.7,56.1,42,103,87,4.2,-0.6
6.6,1.6,2.1,0.3,0.7,0.3,35.3,50,38.2,102,75,0,-3.7
16.4,1.7,1.5,0.1,0.1,0.2,54.5,50,56.8,106,114,0,-3.7
9.2,5.7,1.9,1.2,0.2,0.6,40.9,76.7,43.4,112,97,-0.9,-3.4
10.2,2.4,0.8,0,0.1,0.3,31.6,75,34.2,110,95,-0.1,-9.7
13.3,1.2,0.8,0.6,0,0.6,28.6,66.7,28.6,95,84,0,1
11.5,6.9,5.4,1.4,0.3,1.1,46.8,59,46.9,105,100,2.8,-0.5
13.6,5.8,3,0.7,0.3,0.4,46.4,78,57,106,119,10.1,1
15.2,20.4,3.3,3.8,0.3,0.8,42.9,84.9,48.8,114,104,1,-1.5
8.2,5.2,1.2,2.3,0.1,0.3,40,87.1,44.8,116,98,-0.6,-6.2
15,6.9,5.5,1.1,0.5,0.7,51.5,63.6,52.8,105,110,6,0.2
14.2,5.2,4.9,0.5,0.7,0.4,54.4,44.5,54.4,107,110,0.1,-1.9
15.4,16.8,4.2,3.7,0.2,1.3,46.1,83.7,46.6,107,101,10,-0.5
